Designator,Mid X,Mid Y,Layer,Rotation
C425,49.225mm,52.425mm,Top,180.0
F410,46.382000000000005mm,60.6918mm,Top,0.0
C415,51.5484mm,46.725mm,Bottom,0.0
C414,50.57340000000001mm,56.235mm,Bottom,180.0
U411,49.147200000000005mm,51.375mm,Bottom,90.0
D410,42.025000000000006mm,60.3918mm,Bottom,180.0
R411,42.123400000000004mm,63.291799999999995mm,Bottom,270.0
D417,44.7734mm,63.525mm,Bottom,180.0
C410,50.018mm,61.585mm,Bottom,180.0
D412,45.675000000000004mm,64.1418mm,Top,180.0
R410,42.8984mm,64.175mm,Top,0.0
D413,45.675000000000004mm,62.5168mm,Top,180.0
C411,44.748400000000004mm,61.725mm,Bottom,0.0
R413,44.748400000000004mm,60.1918mm,Bottom,0.0
D414,42.225mm,61.725mm,Bottom,0.0
D418,45.955000000000005mm,56.525mm,Top,0.0
D416,50.8266mm,60.618700000000004mm,Top,180.0
U410,50.4234mm,63.225mm,Top,180.0
C412,50.018mm,63.625mm,Bottom,180.0
C413,48.0484mm,62.7879mm,Top,90.0
D411,42.373400000000004mm,61.716499999999996mm,Top,0.0
U420,43.2884mm,52.6168mm,Bottom,180.0
R420,47.3984mm,61.0419mm,Bottom,90.0
C429,45.583400000000005mm,48.025mm,Bottom,0.0
C427,46.304700000000004mm,61.2269mm,Bottom,270.0
C428,43.3943mm,48.025mm,Bottom,180.0
C423,44.2216mm,58.1168mm,Bottom,90.0
C421,45.4132mm,58.1168mm,Bottom,90.0
C422,46.6047mm,58.1168mm,Bottom,90.0
C424,43.025000000000006mm,58.1168mm,Bottom,270.0
R421,46.779700000000005mm,56.355000000000004mm,Bottom,0.0
R423,43.4943mm,47.025mm,Bottom,180.0
D420,45.025000000000006mm,46.025mm,Top,0.0
C420,41.975mm,58.525mm,Bottom,270.0
L420,49.925000000000004mm,58.425mm,Bottom,180.0
D421,50.275000000000006mm,48.0642mm,Top,270.0
L421,44.525000000000006mm,50.625mm,Top,0.0
R148,73.325mm,72.125mm,Bottom,180.0
R142,74.725mm,73.025mm,Bottom,180.0
U108,90.9052mm,39.934mm,Top,0.0
VD103,93.725mm,44.519999999999996mm,Bottom,270.0
U101,65.675mm,69.3714mm,Top,270.0
C119,73.32509999999999mm,64.64439999999999mm,Bottom,0.0
R147,82.3366mm,72.4413mm,Bottom,0.0
R146,62.658899999999996mm,71.025mm,Bottom,270.0
R141,75.725mm,73.025mm,Bottom,180.0
U102,70.7815mm,67.6535mm,Bottom,180.0
R109,70.8413mm,67.0578mm,Top,180.0
R108,67.925mm,66.669mm,Bottom,180.0
Q103,71.5678mm,69.1218mm,Top,180.0
Q102,76.12mm,71.725mm,Top,180.0
